Date,Moisture_600,Blaine_After_HPGR,Tfe_Before_Mixer,FeO_Before_Mixer,Online_hours,Grate_Feed(ton),Grate_Speed(rpm),Depth(mm),EP1_Temp(deg),EP2_Temp(deg),Grate_Zoon3_Temp(deg),Grate_Zoon4_Temp(deg),Amb_Temp(deg),KL1_Speed(rpm),AN1_Speed(rpm),730FN1_Damper,730FN1_Amp,AN1_Zoon3_Temp(deg),Gas_Consumption(Nm3)
5/14/2019,8.933333333,2191.583333,67.00333333,24.06,24,12239.41,5.78496169,132.5728284,114.1289009,101.2362478,792.3231343,882.0736866,25.74010043,1.693759956,1.641915739,33.58402778,181.4103936,167.5731482,180300
5/15/2019,8.802777778,2187.5,66.90666667,23.00666667,24,12137.05,5.62132073,136.8930978,109.7024969,100.2514467,782.1187784,873.8244764,27.73881831,1.699948532,1.642040021,32.82152778,179.3434925,167.2453758,175360
5/16/2019,8.794444444,2146.272727,66.63333333,22.95666667,24,11813.38,5.555530664,134.5007132,120.1893807,102.6149389,756.7858135,848.8018048,27.26583082,1.699946447,1.608144999,32.53958333,178.0069496,142.8110454,173720
5/17/2019,8.876388889,2129.909091,66.97333333,21.41333333,24,11936.7,5.534511736,136.9616202,118.1452853,101.2566855,751.1023631,833.0334231,27.04810865,1.699901726,1.635938538,33.15625,179.7745088,159.655851,173280
5/18/2019,8.961111111,2179,66.84,21.28333333,24,11860.81,5.632447438,132.4063682,114.7220571,99.92245889,742.460988,829.551033,26.16963748,1.689824714,1.619955259,32.60902778,179.017709,143.8047152,177680
5/19/2019,9.083333333,2188.727273,67.02333333,21.50666667,24,12102.7,5.6470232,133.3627384,111.5048514,99.23815851,765.3162676,864.7438923,25.70156682,1.67982829,1.612158433,33.09791667,179.9166307,163.784582,179856
5/20/2019,8.998611111,2243.666667,66.84,21.38,23.98333333,12515.38,5.659675407,138.2647343,103.2638445,96.92599066,788.5358333,870.4167226,27.25838345,1.694241135,1.666498682,33.06076389,179.2013296,196.3619526,191304
5/21/2019,8.9625,2219.272727,66.89333333,20.91333333,24,12756.15,5.860918575,139.0750263,106.3163896,96.75076611,800.4801878,889.5348088,24.52946407,1.700241797,1.716699972,33.91736111,182.8281754,182.9220656,196920
5/22/2019,8.809722222,2227.3,66.98666667,20.67333333,23.66666667,12302.71,5.770037366,135.9760661,104.3813994,94.5868844,765.2962406,878.004789,22.13449904,1.700372628,1.656931782,34.01111111,183.4490194,157.4566866,192904
5/23/2019,8.773611111,2229.909091,66.85666667,19.43333333,24,12778.93,5.754822728,142.4779469,110.5679506,94.79420044,783.7865127,885.0269948,19.75884072,1.700243809,1.698281871,33.93819444,183.9102023,153.8390746,192976
