Date,Time,Blaine_After_HPGR
5/11/2019,5:05,2237
5/11/2019,7:05,2190
5/11/2019,9:05,2143
5/11/2019,11:05,2190
5/11/2019,13:05,2119
5/11/2019,15:05,2167
5/11/2019,17:05,2167
5/11/2019,19:05,2190
5/11/2019,21:05,2214
5/11/2019,23:05,2259
5/12/2019,1:05,2190
5/12/2019,3:05,2190
5/12/2019,5:05,1995
5/12/2019,7:05,1917
5/12/2019,23:05,2259
5/13/2019,1:05,2143
5/13/2019,3:05,2119
5/13/2019,5:05,2214
5/13/2019,7:05,2021
5/13/2019,9:22,2095
5/13/2019,11:05,2326
5/13/2019,13:05,2259
5/13/2019,15:05,2046
5/13/2019,17:05,2095
5/13/2019,19:05,2021
5/13/2019,21:05,2095
5/13/2019,23:05,2095
5/14/2019,1:05,2143
5/14/2019,3:05,2167
5/14/2019,5:05,2143
5/14/2019,7:05,2167
5/14/2019,9:05,2143
5/14/2019,11:05,2190
5/14/2019,13:05,2143
5/14/2019,15:05,2119
5/14/2019,17:25,2237
5/14/2019,19:05,2259
5/14/2019,21:05,2282
5/14/2019,23:05,2214
5/15/2019,1:05,2259
5/15/2019,3:05,2119
5/15/2019,5:05,2167
5/15/2019,7:05,2143
5/15/2019,9:05,2167
5/15/2019,11:05,2095
5/15/2019,13:05,2237
5/15/2019,19:05,2143
5/15/2019,21:05,2259
5/15/2019,23:05,2190
5/16/2019,1:05,2190
5/16/2019,3:05,2237
5/16/2019,5:15,2214
5/16/2019,7:05,2237
5/16/2019,9:05,2167
5/16/2019,11:05,2071
5/16/2019,13:05,2071
5/16/2019,17:05,2143
5/16/2019,19:05,2167
5/16/2019,21:05,2046
5/16/2019,23:05,2095
5/17/2019,1:05,2071
5/17/2019,3:05,2304
5/17/2019,5:05,2237
5/17/2019,7:05,2167
5/17/2019,9:05,2071
5/17/2019,13:05,2143
5/17/2019,15:05,2143
5/17/2019,17:05,2119
5/17/2019,19:05,2119
5/17/2019,21:05,2167
5/17/2019,23:05,2167
5/18/2019,1:05,2119
5/18/2019,3:05,2119
5/18/2019,5:05,2095
5/18/2019,7:05,2167
5/18/2019,9:05,2095
5/18/2019,11:05,2190
5/18/2019,17:05,2190
5/18/2019,19:05,2282
5/18/2019,21:05,2282
5/18/2019,23:05,2119
5/19/2019,1:05,2167
5/19/2019,3:05,2119
5/19/2019,7:15,2071
5/19/2019,9:05,2259
5/19/2019,11:05,2119
5/19/2019,13:20,2190
5/19/2019,15:05,2214
5/19/2019,17:05,2190
5/19/2019,19:05,2190
5/19/2019,23:05,2143
5/20/2019,1:05,2119
5/20/2019,3:05,2190
5/20/2019,5:05,2391
5/20/2019,7:05,2348
5/20/2019,9:05,2190
5/20/2019,11:05,2237
5/20/2019,13:05,2237
5/20/2019,15:05,2214
5/20/2019,17:05,2259
5/20/2019,19:05,2237
5/20/2019,21:00,2167
5/20/2019,23:05,2304
5/21/2019,1:05,2282
5/21/2019,3:05,2167
5/21/2019,5:05,2282
5/21/2019,7:30,2190
5/21/2019,9:05,2304
5/21/2019,11:05,2282
5/21/2019,13:05,2237
5/21/2019,15:05,2214
5/21/2019,17:05,2167
5/21/2019,19:05,2190
5/21/2019,21:05,2167
5/22/2019,1:05,2143
5/22/2019,3:05,2259
5/22/2019,5:05,2259
5/22/2019,7:05,2214
5/22/2019,9:05,2214
5/22/2019,11:05,2214
5/22/2019,15:05,2259
5/22/2019,17:05,2282
5/22/2019,19:05,2214
5/22/2019,21:05,2190
5/23/2019,1:05,2167
5/23/2019,3:00,2282
5/23/2019,5:05,2237
5/23/2019,7:05,2190
5/23/2019,9:05,2190
5/23/2019,11:05,2237
5/23/2019,13:05,2304
5/23/2019,17:05,2237
5/23/2019,19:05,2190
5/23/2019,21:05,2214
5/23/2019,23:05,2259
5/24/2019,1:20,2167
5/24/2019,2:30,2282
5/24/2019,5:05,2259
5/24/2019,7:05,2282
5/24/2019,9:05,2237
5/24/2019,11:05,2259
5/24/2019,13:05,2304
5/24/2019,15:05,2237
5/24/2019,17:05,2237
5/24/2019,19:05,2237
5/24/2019,21:05,2237
5/24/2019,23:05,2167
5/25/2019,1:05,2214
5/25/2019,3:05,2259
5/25/2019,7:05,2259
5/25/2019,11:05,2259
5/25/2019,13:05,2259
5/25/2019,15:05,2259
5/25/2019,17:05,2259
5/25/2019,19:05,2237
5/25/2019,21:05,2304
5/25/2019,23:05,2214
5/26/2019,1:05,2282
5/26/2019,3:05,2190
5/26/2019,5:05,2282
5/26/2019,7:05,2214
5/26/2019,13:20,2370
5/26/2019,15:05,2282
5/26/2019,17:05,2282
5/26/2019,19:05,2143
5/27/2019,23:05,2237
5/28/2019,1:05,2237
5/28/2019,3:05,2021
5/28/2019,5:05,2304
5/28/2019,7:05,2259
5/28/2019,9:05,2119
5/28/2019,11:05,2167
5/28/2019,13:05,2282
5/28/2019,15:05,2214
5/28/2019,17:05,2237
5/28/2019,19:05,2190
5/28/2019,21:05,2190
5/28/2019,23:05,2167
5/29/2019,3:05,2119
5/29/2019,5:05,2237
5/29/2019,7:05,2214
5/29/2019,9:05,2119
5/29/2019,11:05,2167
5/29/2019,13:05,2237
5/29/2019,15:20,2282
5/29/2019,17:05,2190
5/29/2019,19:05,2237
5/29/2019,21:05,2259
5/29/2019,23:05,2259
5/30/2019,1:05,2190
5/30/2019,3:05,2259
5/30/2019,5:05,2190
5/30/2019,7:05,2214
5/30/2019,9:05,2190
5/30/2019,11:05,2167
5/30/2019,13:05,2190
5/30/2019,15:05,2190
5/30/2019,17:05,2237
5/30/2019,19:05,2214
5/30/2019,21:05,2259
5/30/2019,23:20,2095
5/31/2019,1:05,2143
5/31/2019,3:05,2214
5/31/2019,5:15,2167
5/31/2019,7:05,2214
5/31/2019,11:05,2214
5/31/2019,13:05,2237
5/31/2019,15:05,2237
5/31/2019,17:05,2167
5/31/2019,19:05,2143
5/31/2019,21:05,2190
6/1/2019,1:05,2214
6/1/2019,3:05,2167
6/1/2019,5:05,2237
6/1/2019,9:05,2214
6/1/2019,11:05,2259
6/1/2019,13:05,2167
6/1/2019,15:05,2190
6/1/2019,19:05,2190
6/1/2019,21:05,2237
6/1/2019,23:05,2143
6/2/2019,1:05,2214
6/2/2019,3:05,2190
6/2/2019,5:05,2237
6/2/2019,7:05,2326
6/2/2019,9:05,2190
6/2/2019,11:05,2167
6/2/2019,13:05,2190
6/2/2019,15:05,2167
6/2/2019,17:05,2214
6/2/2019,19:05,2190
6/2/2019,21:05,2143
6/2/2019,23:05,2237
6/3/2019,1:05,2167
6/3/2019,3:05,2119
6/3/2019,5:05,2259
6/3/2019,7:05,2214
6/3/2019,9:05,2190
6/3/2019,11:15,2259
6/3/2019,13:05,2214
6/3/2019,17:05,2143
6/3/2019,19:05,2119
6/3/2019,21:05,2348
6/3/2019,23:05,2214
6/4/2019,1:05,2237
6/4/2019,5:05,2119
6/4/2019,9:05,2214
6/4/2019,11:20,2190
6/4/2019,13:05,2143
6/4/2019,15:05,2119
6/4/2019,17:15,2167
6/4/2019,19:05,2237
6/4/2019,21:05,2167
6/4/2019,23:05,2143
6/5/2019,1:05,2071
6/5/2019,3:05,2214
6/5/2019,5:05,2237
6/5/2019,7:05,2259
6/5/2019,11:05,2282
6/5/2019,13:05,2259
6/5/2019,15:05,2259
6/5/2019,17:05,2259
6/5/2019,19:05,2237
6/5/2019,21:05,2237
6/5/2019,23:05,2259
6/6/2019,1:15,2237
6/6/2019,3:05,2214
6/6/2019,7:05,2282
6/6/2019,9:05,2214
6/6/2019,11:05,2119
6/6/2019,13:05,2259
6/6/2019,15:05,2237
6/6/2019,17:05,2348
6/6/2019,19:05,2190
6/6/2019,21:05,2237
6/6/2019,23:05,2167
6/7/2019,1:05,2304
6/7/2019,3:05,2259
6/7/2019,5:05,2046
6/7/2019,9:05,2214
6/7/2019,13:05,2119
6/7/2019,15:05,2190
6/7/2019,19:20,2259
6/7/2019,21:05,2304
6/7/2019,23:05,2190
6/8/2019,1:05,2214
6/8/2019,3:05,2190
6/8/2019,5:15,2214
6/8/2019,7:05,2326
6/8/2019,11:05,2214
6/8/2019,13:05,2021
6/8/2019,15:05,1943
6/8/2019,17:05,2190
6/8/2019,19:05,2259
6/8/2019,21:05,2326
6/9/2019,1:05,2412
6/9/2019,3:05,2326
6/9/2019,5:05,2282
6/9/2019,7:05,2167
6/9/2019,9:05,2282
6/9/2019,11:05,2282
6/9/2019,13:05,2095
6/9/2019,15:05,2214
6/9/2019,17:05,2282
6/9/2019,19:05,2304
6/9/2019,21:05,2326
6/9/2019,23:05,2348
6/10/2019,1:05,2259
6/10/2019,3:05,2391
6/10/2019,5:05,2214
6/10/2019,7:05,2214
6/10/2019,9:05,2214
6/10/2019,11:05,2237
6/10/2019,17:05,2190
6/10/2019,21:05,2143
6/10/2019,23:05,2259
6/11/2019,1:05,2282
6/11/2019,3:05,2214
6/11/2019,5:05,2259
6/13/2019,5:05,2370
6/13/2019,7:05,2348
6/13/2019,9:05,2282
6/13/2019,11:05,2326
6/13/2019,13:05,2282
6/13/2019,17:05,2259
6/13/2019,19:05,2304
6/13/2019,21:10,2259
6/14/2019,15:05,2259
6/14/2019,17:05,2304
6/14/2019,19:05,2167
6/15/2019,21:05,2237
6/16/2019,1:05,2326
6/16/2019,3:15,2259
6/16/2019,5:05,2259
6/16/2019,7:05,2259
6/16/2019,9:50,2282
6/16/2019,13:05,2259
6/16/2019,15:05,2259
6/16/2019,17:05,2214
6/16/2019,19:05,2259
6/16/2019,21:05,2348
6/16/2019,23:05,2282
6/17/2019,1:05,2259
6/17/2019,3:05,2326
6/17/2019,5:05,2304
6/17/2019,7:05,2259
6/17/2019,9:05,2259
6/17/2019,13:05,2259
6/17/2019,15:05,2304
6/17/2019,17:05,2282
6/17/2019,21:05,2237
6/17/2019,23:05,2282
